"IP_ID","InvoiceID","PaymentDate","TotalPaid","PaymentMode"
"2231","10102","2024-06-04 00:00:00","10388.00","Credit Terms - 30 days                                                                                                                                "
"2232","10103","2024-06-06 00:00:00","2025.00","By Cash                                                                                                                                               "
"2233","10104","2024-06-06 00:00:00","8028.00","By Cash                                                                                                                                               "
"2234","10105","2024-06-06 00:00:00","4749.00","By Cash                                                                                                                                               "
"2238","10109","2024-06-07 00:00:00","6904.00","By Cash                                                                                                                                               "
"2239","10107","2024-06-06 00:00:00","18188.00","Credit Terms - 15 days                                                                                                                                "
"2240","10106","2024-06-06 00:00:00","3946.00","Credit Terms - 30 days                                                                                                                                "
"2241","10110","2024-06-07 00:00:00","15435.00","By Cash                                                                                                                                               "
"2242","10111","2024-06-07 00:00:00","15869.00","By Cash                                                                                                                                               "
"2243","10112","2024-06-07 00:00:00","2772.00","By Cash                                                                                                                                               "
"2244","10113","2024-06-08 00:00:00","152730.00","Credit Terms - 30 days                                                                                                                                "
"2245","10114","2024-06-08 00:00:00","1968.00","By Cash                                                                                                                                               "
"2246","10115","2024-06-08 00:00:00","98023.35","Credit Terms - 7 days                                                                                                                                 "
"2247","10116","2024-06-10 00:00:00","9944.00","By Cash                                                                                                                                               "
"2248","10117","2024-06-10 00:00:00","6930.00","By Cash                                                                                                                                               "
"2250","10118","2024-06-12 00:00:00","13275.00","By Cash                                                                                                                                               "
"2251","10119","2024-06-13 00:00:00","5771.00","By Cash                                                                                                                                               "
"2252","10120","2024-06-18 00:00:00","11266.00","By Cash                                                                                                                                               "
"2253","10121","2024-06-18 00:00:00","1568.00","By Cash                                                                                                                                               "
"2255","10123","2024-06-18 00:00:00","5908.00","By Cash                                                                                                                                               "
"2256","10124","2024-06-18 00:00:00","11918.00","By Cash                                                                                                                                               "
"2257","10125","2024-06-18 00:00:00","2513.00","Credit Terms - 30 days                                                                                                                                "
"2258","10126","2024-06-19 00:00:00","6713.00","Credit Terms - 30 days                                                                                                                                "
"2259","10122","2024-06-18 00:00:00","17800.00","By Cash                                                                                                                                               "
"2260","10127","2024-06-19 00:00:00","743.00","Credit Terms - 30 days                                                                                                                                "
"2261","10128","2024-06-19 00:00:00","6149.00","By Cash                                                                                                                                               "
"2262","10129","2024-06-19 00:00:00","13721.00","Credit Terms - 15 days                                                                                                                                "
"2263","10130","2024-06-19 00:00:00","4620.00","By Cash                                                                                                                                               "
"2265","10132","2024-06-21 00:00:00","4354.00","Credit Terms - 30 days                                                                                                                                "
"2266","10133","2024-06-21 00:00:00","2513.00","Credit Terms - 30 days                                                                                                                                "
"2267","10134","2024-06-21 00:00:00","2250.00","By Cash                                                                                                                                               "
"2268","10135","2024-06-24 00:00:00","29337.00","Credit Terms - 30 days                                                                                                                                "
