"PID","ProductCode","ProductName","ProductNameTamil","HSNCode","Category","Manufacturer","Description","CostPrice","Discount","CGST","SGST","ReorderPoint","Unit","Barcode"
"38","P-0038                        ","Rex Wheat Germ Oil 1L                                                                                                                                                                                   ","","23099020                      ","Multivitamin                                                                                                                                                                                            ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","100038"
"39","P-0039                        ","My Beau Dog 300ML                                                                                                                                                                                       ","","23091000                      ","Multivitamin                                                                                                                                                                                            ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","4","No                                                                                                                                                    ","100039"
"40","P-0040                        ","My Beau Dog 1.5L                                                                                                                                                                                        ","","23091000                      ","Multivitamin                                                                                                                                                                                            ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","100040"
"41","P-0041                        ","My Beau Skin & Hair 300ML                                                                                                                                                                               ","","23091000                      ","Multivitamin                                                                                                                                                                                            ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","100041"
"42","P-0042                        ","Fidele Large Puppy 3KG FWP                                                                                                                                                                              ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","100042"
"43","P-0043                        ","Fidele Large Adult 3KG FWP                                                                                                                                                                              ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100043"
"44","P-0044                        ","Fidele Large Puppy 20KG                                                                                                                                                                                 ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","4","No                                                                                                                                                    ","100044"
"45","P-0045                        ","Fidele S & M Puppy 20KG                                                                                                                                                                                 ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","1","No                                                                                                                                                    ","100045"
"47","P-0047                        ","Freedom puppy 50g                                                                                                                                                                                       ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","0.00","0.00","0","No                                                                                                                                                    ","10047"
"49","P-0049                        ","Grain Zero Dog Starter 1.2kg                                                                                                                                                                            ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","6","No                                                                                                                                                    ","10049"
"50","P-0050                        ","Grain Zero Dog Puppy 1.2kg                                                                                                                                                                              ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","6","No                                                                                                                                                    ","10050"
"51","P-0051                        ","Grain Zero Dog Puppy 3kg                                                                                                                                                                                ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","6","No                                                                                                                                                    ","10051"
"52","P-0052                        ","Grain Zero Cat Kitten 1.2 kg promo                                                                                                                                                                      ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10052"
"53","P-0053                        ","Grain Zero Cat Adult 1.2 kg promo                                                                                                                                                                       ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10053"
"54","P-0054                        ","My Beau Dog 150ml                                                                                                                                                                                       ","","23091000                      ","Multivitamin                                                                                                                                                                                            ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","10054"
"55","P-0055                        ","Filomilo Cat Litter - Scented 6Kg                                                                                                                                                                       ","","250840                        ","LitterSand                                                                                                                                                                                              ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","2.50","2.50","2","No                                                                                                                                                    ","10055"
