"PID","ProductCode","ProductName","ProductNameTamil","HSNCode","Category","Manufacturer","Description","CostPrice","Discount","CGST","SGST","ReorderPoint","Unit","Barcode"
"164","P-0164                        ","Smart heart Adult Wet Chicken Chunk Gravy Teriyaki                                                                                                                                                      ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10164"
"165","P-0165                        ","Smart heart Adult Wet Roasted Duck Gravy 80gms                                                                                                                                                          ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10165"
"167","P-0167                        ","Smart heart Puppy Wet Chicken Chunks Gravy 80gms                                                                                                                                                        ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10167"
"168","P-0168                        ","Smart heart Puppy Wet Chicken Chunks with carrot and egg Gravy 80gms                                                                                                                                    ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10168"
"169","P-0169                        ","Smart heart Adult Wet Chicken and Spinach Treat 60gms                                                                                                                                                   ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10169"
"170","P-0170                        ","Smart heart Adult Wet Chicken and Pumpkin Treat 60gms                                                                                                                                                   ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10170"
"171","P-0171                        ","Smart heart Adult Wet Chicken and Carrot Treat 60gms                                                                                                                                                    ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10171"
"172","P-0172                        ","Smart heart Adult Wet Treat Strawberry 60gms                                                                                                                                                            ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10172"
"173","P-0173                        ","Smart heart Adult Wet Canned Chicken 400gms                                                                                                                                                             ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10173"
"174","P-0174                        ","Smart heart Adult Wet Canned Chicken and vegetables 400gms                                                                                                                                              ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10174"
"175","P-0175                        ","Smart heart Adult Wet Canned Lamd 400gms                                                                                                                                                                ","","23091000                      ","Dog Treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10175"
"176","P-0176                        ","Meo Adult Wet Treat Chicken and liver 300gms                                                                                                                                                            ","","23091000                      ","cat treat                                                                                                                                                                                               ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10176"
"177","P-0177                        ","kingbanana 200ml                                                                                                                                                                                        ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10177"
"179","P-0179                        ","gingerberry 200ml                                                                                                                                                                                       ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10179"
"180","P-0180                        ","mintgreen 200ml                                                                                                                                                                                         ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10180"
"181","P-0181                        ","blackberry 200ml                                                                                                                                                                                        ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10181"
"182","P-0182                        ","green apple 200ml                                                                                                                                                                                       ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10182"
"183","P-0183                        ","natural orange 200ml                                                                                                                                                                                    ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10183"
"184","P-0184                        ","tikfite 200ml                                                                                                                                                                                           ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10184"
"185","P-0185                        ","scabovate 200ml                                                                                                                                                                                         ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10185"
"186","P-0186                        ","oat coat 200ml                                                                                                                                                                                          ","","3305                          ","Shampoo                                                                                                                                                                                                 ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10186"
"187","P-0187                        ","fruit chi 100g                                                                                                                                                                                          ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10187"
"188","P-0188                        ","fruit duck 100g                                                                                                                                                                                         ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10188"
"189","P-0189                        ","fruit lamb 100g                                                                                                                                                                                         ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10189"
"190","P-0190                        ","fruit salmon 100g                                                                                                                                                                                       ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10190"
"191","P-0191                        ","fruit turkey                                                                                                                                                                                            ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","ek                                                                                                                                                                                                      ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10191"
"192","P-0192                        ","Meo Tuna 20KG                                                                                                                                                                                           ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10192"
"194","P-0194                        ","Smart heart mother nd baby 2.6kg                                                                                                                                                                        ","","23091000                      ","Dog food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","4","No                                                                                                                                                    ","10194"
"195","P-0195                        ","Meo Kitten Dry Ocean fish 7kg                                                                                                                                                                           ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10195"
"196","P-0196                        ","Meo Persian Adult Dry 1.1kg                                                                                                                                                                             ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10196"
"197","P-0197                        ","Meo Persian Kitten Dry 50 gms                                                                                                                                                                           ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","24","No                                                                                                                                                    ","10197"
"198","P-0198                        ","Meo Adult Wet Chicken Chunk In Gravy 80gms                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10198"
"199","P-0199                        ","Meo Kitten Wet Tuna nd Sardine In Jelly 80gms                                                                                                                                                           ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10199"
"200","P-0200                        ","Grain Zero Dog Puppy 12kg                                                                                                                                                                               ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10200"
"201","P-0201                        ","Grain Zero Dog Adult 1.2kg                                                                                                                                                                              ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10201"
"202","P-0202                        ","Grain Zero Dog Adult 3kg                                                                                                                                                                                ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10202"
"203","P-0203                        ","Grain Zero Dog Starter 12KG                                                                                                                                                                             ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10203"
"204","P-0204                        ","FILOMILO TREAT CAT MACKERAL 70GM                                                                                                                                                                        ","","19050000                      ","cat treat                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10204"
"205","P-0205                        ","FILOMILO TREAT CAT TUNA 70GM                                                                                                                                                                            ","","19050000                      ","cat treat                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10205"
"206","P-0206                        ","Meo Adult Dry Gourmet 1.1KG                                                                                                                                                                             ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10206"
"207","P-0207                        ","Meo Adult Dry Mackeral 450KG                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10207"
"208","P-0208                        ","Meo Adult Dry Sea Food 450KG                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10208"
"209","P-0209                        ","Meo Adult Wet Chicken with rice &carrot 80gms                                                                                                                                                           ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10209"
"210","P-0210                        ","APro Adult cat 20kg                                                                                                                                                                                     ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10210"
"211","P-0211                        ","Meo Adult Dry Mackeral 20kg                                                                                                                                                                             ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10211"
"212","P-0212                        ","Purpletail A Chicken gravy 70g                                                                                                                                                                          ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","30","No                                                                                                                                                    ","10212"
"213","P-0213                        ","Purpletail P Chicken gravy 70g                                                                                                                                                                          ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","30","No                                                                                                                                                    ","10213"
"214","P-0214                        ","Meo Adult Dry Tuna 400g                                                                                                                                                                                 ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","10","No                                                                                                                                                    ","10214"
"215","P-0215                        ","Meo Adult Dry C&V 1.2 Kg                                                                                                                                                                                ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10215"
"216","P-0216                        ","Meo Adult Dry C&V 400g                                                                                                                                                                                  ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","6","No                                                                                                                                                    ","10216"
"217","P-0217                        ","Meo Kitten Dry Ocean fish 50gms                                                                                                                                                                         ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10217"
"218","P-0218                        ","Meo Delight Pouch Tuna in jelly 70gms                                                                                                                                                                   ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10218"
