"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"32","2023-10-17 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-004                                      ","Payment                                                                                                                                                                                                 ","0.00","3960.00","C-0005              "
"33","2023-10-17 00:00:00","MS ENTERPRISES                                                                                                                                                                                          ","INV-2023-108                                      ","Sales                                                                                                                                                                                                   ","9504.00","0.00","C-0010              "
"34","2023-10-17 00:00:00","Bank Account                                                                                                                                                                                            ","C-0003 - T-1                                      ","Payment                                                                                                                                                                                                 ","0.00","2989.00","C-0003              "
"35","2023-10-18 00:00:00","VM Pets Mart                                                                                                                                                                                            ","INV-2023-109                                      ","Sales                                                                                                                                                                                                   ","6218.00","0.00","C-0011              "
"43","2023-10-20 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-111                                      ","Sales                                                                                                                                                                                                   ","7200.00","0.00","C-0005              "
"44","2023-10-18 00:00:00","BLUE'S PET CLINIC                                                                                                                                                                                       ","INV-2023-110                                      ","Sales                                                                                                                                                                                                   ","5127.00","0.00","C-0004              "
"45","2023-10-23 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-112                                      ","Sales                                                                                                                                                                                                   ","25355.00","0.00","C-0005              "
"46","2023-10-23 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-112                                      ","Payment                                                                                                                                                                                                 ","0.00","25355.00","C-0005              "
"47","2023-10-25 00:00:00","JD Pet Clinic                                                                                                                                                                                           ","INV-2023-113                                      ","Sales                                                                                                                                                                                                   ","2156.00","0.00","C-0002              "
"48","2023-10-24 00:00:00","Dr Bose & Bose Bird and Animal Hospital                                                                                                                                                                 ","C-0012                                            ","Opening Balance                                                                                                                                                                                         ","3659.00","0.00","C-0012              "
"50","2023-10-16 00:00:00","JJJ Birds                                                                                                                                                                                               ","INV-2023-107                                      ","Sales                                                                                                                                                                                                   ","53675.00","0.00","C-0009              "
"51","2023-10-10 00:00:00","Jinu                                                                                                                                                                                                    ","INV-2023-106                                      ","Sales                                                                                                                                                                                                   ","10660.00","0.00","C-0007              "
"52","2023-10-26 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-115                                      ","Sales                                                                                                                                                                                                   ","15960.00","0.00","C-0005              "
"53","2023-10-27 00:00:00","MS ENTERPRISES                                                                                                                                                                                          ","INV-2023-116                                      ","Sales                                                                                                                                                                                                   ","23220.00","0.00","C-0010              "
"54","2023-10-28 00:00:00","JJJ Birds                                                                                                                                                                                               ","INV-2023-117                                      ","Sales                                                                                                                                                                                                   ","32448.00","0.00","C-0009              "
"55","2023-10-28 00:00:00","BLUE'S PET CLINIC                                                                                                                                                                                       ","INV-2023-118                                      ","Sales                                                                                                                                                                                                   ","3564.00","0.00","C-0004              "
"57","2023-10-28 00:00:00","PETS HUB                                                                                                                                                                                                ","INV-2023-119                                      ","Sales                                                                                                                                                                                                   ","9755.00","0.00","C-0013              "
"58","2023-11-03 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-120                                      ","Sales                                                                                                                                                                                                   ","9090.00","0.00","C-0005              "
"59","2023-11-06 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-121                                      ","Sales                                                                                                                                                                                                   ","17088.00","0.00","C-0005              "
"60","2023-11-06 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-121                                      ","Payment                                                                                                                                                                                                 ","0.00","17088.00","C-0005              "
"63","2023-11-06 00:00:00","ANNAI AQUARIUM                                                                                                                                                                                          ","INV-2023-122                                      ","Sales                                                                                                                                                                                                   ","4557.00","0.00","C-0014              "
"64","2023-11-08 00:00:00","MS ENTERPRISES                                                                                                                                                                                          ","INV-2023-123                                      ","Sales                                                                                                                                                                                                   ","48550.00","0.00","C-0010              "
"65","2023-11-08 00:00:00","MS ENTERPRISES                                                                                                                                                                                          ","INV-2023-124                                      ","Sales                                                                                                                                                                                                   ","18307.38","0.00","C-0010              "
"66","2023-11-11 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-125                                      ","Sales                                                                                                                                                                                                   ","6420.00","0.00","C-0005              "
"67","2023-11-11 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-125                                      ","Payment                                                                                                                                                                                                 ","0.00","6420.00","C-0005              "
"68","2023-11-14 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-126                                      ","Sales                                                                                                                                                                                                   ","7560.00","0.00","C-0005              "
"69","2023-11-14 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-126                                      ","Payment                                                                                                                                                                                                 ","0.00","7560.00","C-0005              "
