"Id","ProductID","Qty","PurchaseCost","SalesCost","MRP","BatchNo","MfgDate","ExpiryDate","Barcode"
"104","16","0.00","206.30","381.36","450.00","TSCK271123                                        ","2023-12-01 00:00:00","2025-12-01 00:00:00","100016"
"105","53","0.00","192.05","347.46","410.00","TSCA041123                                        ","2023-12-01 00:00:00","2025-12-01 00:00:00","10053"
"106","72","446.00","24.16","42.37","50.00","RZVA020723                                        ","2023-12-01 00:00:00","2025-12-01 00:00:00","10072"
"107","71","450.00","24.16","42.37","50.00","RZVP130723                                        ","2023-12-01 00:00:00","2025-12-01 00:00:00","10071"
"108","4","5.00","143.48","295.76","349.00","2024                                              ","2023-08-08 00:00:00","2025-04-08 00:00:00","100004"
"109","5","30.00","143.48","295.76","349.00","2024                                              ","2023-08-06 00:00:00","2025-03-06 00:00:00","100005"
"110","6","2.00","143.48","295.76","349.00","2024                                              ","2023-07-06 00:00:00","2025-02-06 00:00:00","100006"
"111","7","4.00","81.81","168.64","199.00","2024                                              ","2023-08-24 00:00:00","2025-04-24 00:00:00","100007"
"112","8","0.00","81.81","168.64","199.00","2024                                              ","2023-05-01 00:00:00","2025-01-01 00:00:00","100008"
"113","9","0.00","81.81","168.64","199.00","2024                                              ","2023-09-04 00:00:00","2025-05-04 00:00:00","100009"
"114","49","0.00","343.83","635.59","750.00","5 1                                               ","2023-10-21 00:00:00","2025-10-01 00:00:00","10049"
"115","66","0.00","848.11","1567.80","1850.00","5 1                                               ","2023-10-01 00:00:00","2025-10-15 00:00:00","10066"
"116","50","2.00","332.37","614.41","725.00","5 1                                               ","2023-10-21 00:00:00","2025-10-21 00:00:00","10050"
"117","51","0.00","802.27","1483.05","1750.00","5 1                                               ","2023-10-21 00:00:00","2025-10-01 00:00:00","10051"
"118","16","1.00","206.30","381.36","450.00","5 1                                               ","2023-07-21 00:00:00","2025-07-21 00:00:00","100016"
"119","2","71.00","1008.57","1864.41","2200.00","5 1                                               ","2023-09-16 00:00:00","2025-09-16 00:00:00","100002"
"120","17","0.00","197.13","364.41","430.00","5 1                                               ","2023-08-07 00:00:00","2025-08-07 00:00:00","100017"
"121","3","2.00","916.88","1694.92","2000.00","5 1                                               ","2023-09-15 00:00:00","2025-09-15 00:00:00","100003"
"122","18","0.00","187.96","347.46","410.00","5 1                                               ","2023-08-08 00:00:00","2025-08-08 00:00:00","100018"
"123","1","0.00","871.04","1610.17","1900.00","5 1                                               ","2023-08-18 00:00:00","2025-08-18 00:00:00","100001"
"124","53","0.00","192.05","347.46","410.00","5 1                                               ","2023-10-21 00:00:00","2025-10-01 00:00:00","10053"
"125","52","0.00","210.78","381.36","450.00","5 1                                               ","2023-10-21 00:00:00","2025-10-01 00:00:00","10052"
"126","70","0.00","197.13","364.41","430.00","5 1                                               ","2023-12-01 00:00:00","2025-12-01 00:00:00","10070"
"127","73","3.00","616.15","855.93","1010.00","1                                                 ","2024-01-16 00:00:00","2025-09-08 00:00:00","10073"
"128","74","2.00","585.78","813.56","960.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10074"
"129","75","0.00","259.34","360.17","425.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10075"
"130","76","41.00","118.99","165.25","195.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10076"
"131","77","0.00","274.59","381.36","450.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10077"
"132","78","1.00","307.98","381.36","450.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10078"
"133","79","40.00","118.99","165.25","195.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10079"
"134","80","12.00","118.99","165.25","195.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10080"
"135","81","10.00","122.04","169.49","200.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10081"
"136","82","3.00","579.69","805.08","950.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10082"
"137","83","4.00","118.99","165.25","195.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10083"
"138","84","2.00","642.58","855.93","1010.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10084"
"139","85","0.00","118.99","165.25","195.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10085"
"140","86","9.00","122.04","169.49","200.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10086"
"141","88","2.00","268.48","372.88","440.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10088"
"142","87","0.00","268.48","372.88","440.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10087"
"143","89","2.00","268.48","372.88","440.00","1                                                 ","2024-01-16 00:00:00","2024-01-16 00:00:00","10089"
"144","90","2.00","126.82","173.73","205.00","12                                                ","2024-01-16 00:00:00","2024-01-16 00:00:00","10090"
"145","4","0.00","143.48","295.76","349.00","2024 1                                            ","2023-08-08 00:00:00","2025-07-16 00:00:00","100004"
"146","6","0.00","143.48","295.76","349.00","2024 1                                            ","2023-07-06 00:00:00","2025-02-06 00:00:00","100006"
"147","7","0.00","81.81","168.64","199.00","2024 1                                            ","2023-08-24 00:00:00","2025-04-24 00:00:00","100007"
