"SP_ID","StockID","ProductID","BatchNo","Qty","FreeQty","MRP","Price","CGSTPer","CGSTAmt","SGSTPer","SGSTAmt","IGSTPer","IGSTAmt","DiscountPer","DiscountAmt","SalesRate","TotalAmount","MfgDate","ExpiryDate"
"134","13","52","TSCK110923","30.00","","450.00","210.78","9.00","569.11","9.00","569.11","0.00","0.00","0.0000","0.00","381.36","7461.62","2023-10-21 00:00:00","2023-10-21 00:00:00"
"135","13","2","NSCK110923","30.00","","2200.00","1008.57","9.00","2723.14","9.00","2723.14","0.00","0.00","0.0000","0.00","1864.41","35703.38","2023-09-16 00:00:00","2025-09-16 00:00:00"
"136","13","3","NSCP120923","25.00","","2000.00","916.88","9.00","2062.98","9.00","2062.98","0.00","0.00","0.0000","0.00","1694.92","27047.96","2023-09-15 00:00:00","2025-09-15 00:00:00"
"137","13","53","TSCA130923","48.00","","410.00","192.05","9.00","829.65","9.00","829.65","0.00","0.00","0.0000","0.00","347.46","10877.65","2023-10-21 00:00:00","2025-10-01 00:00:00"
"138","14","33","AUG-23","4.00","","11250.00","5720.34","9.00","2059.32","9.00","2059.32","0.00","0.00","0.0000","0.00","9533.90","27000.00","2023-10-21 00:00:00","2024-11-05 00:00:00"
"139","14","44","AUG-23","8.00","","11900.00","6050.85","9.00","4356.61","9.00","4356.61","0.00","0.00","0.0000","0.00","10084.75","57120.02","2023-10-03 00:00:00","2024-11-05 00:00:00"
"140","14","45","JUL-23","3.00","","13400.00","6813.56","9.00","1839.66","9.00","1839.66","0.00","0.00","0.0000","0.00","11355.93","24120.00","2023-10-21 00:00:00","2024-11-10 00:00:00"
"141","15","34","JUL23","1.00","","11900.00","6050.85","9.00","544.58","9.00","544.58","0.00","0.00","0.0000","0.00","10084.75","7140.01","2023-10-02 00:00:00","2024-11-04 00:00:00"
"142","15","35","JUL23","4.00","","12500.00","6355.93","9.00","2288.13","9.00","2288.13","0.00","0.00","0.0000","0.00","10593.22","29999.98","2023-10-02 00:00:00","2024-11-11 00:00:00"
"143","16","54","230672","24.00","","850.00","360.16","9.00","777.95","9.00","777.95","0.00","0.00","0.0000","0.00","720.34","10199.74","2023-10-21 00:00:00","2026-04-30 00:00:00"
"144","16","39","230671","12.00","","1375.00","699.15","9.00","755.08","9.00","755.08","0.00","0.00","0.0000","0.00","1165.25","9899.96","2023-10-03 00:00:00","2026-04-30 00:00:00"
"145","16","41","230801","12.00","","2025.00","1029.66","9.00","1112.03","9.00","1112.03","0.00","0.00","0.0000","0.00","1716.10","14579.98","2023-10-03 00:00:00","2026-04-30 00:00:00"
"146","17","5","MEF005","36.00","","349.00","143.48","9.00","464.88","9.00","464.88","0.00","0.00","0.0000","0.00","295.76","6095.04","2023-08-06 00:00:00","2024-11-04 00:00:00"
"147","17","8","MEF010","36.00","","199.00","81.81","9.00","265.06","9.00","265.06","0.00","0.00","0.0000","0.00","168.64","3475.28","2023-05-01 00:00:00","2025-03-04 00:00:00"
"148","17","11","B-04","180.00","","20.00","10.46","9.00","169.45","9.00","169.45","0.00","0.00","0.0000","0.00","16.95","2221.70","2023-06-06 00:00:00","2025-03-09 00:00:00"
"149","17","55","CS06","12.00","","599.00","251.58","2.50","75.47","2.50","75.47","0.00","0.00","0.0000","0.00","570.48","3169.90","2023-10-23 00:00:00","2026-09-27 00:00:00"
"150","17","56","FTHHT02","48.00","","99.00","44.40","9.00","191.81","9.00","191.81","0.00","0.00","0.0000","0.00","83.90","2514.82","2023-10-23 00:00:00","2025-01-20 00:00:00"
"151","17","57","FTRBJO1","48.00","","99.00","44.40","9.00","191.81","9.00","191.81","0.00","0.00","0.0000","0.00","83.90","2514.82","2023-10-23 00:00:00","2024-09-03 00:00:00"
"152","17","58","FTSHC01","48.00","","99.00","44.40","9.00","191.81","9.00","191.81","0.00","0.00","0.0000","0.00","83.90","2514.82","2023-10-23 00:00:00","2024-09-08 00:00:00"
"153","17","59","FTSEI01","48.00","","99.00","44.40","9.00","191.81","9.00","191.81","0.00","0.00","0.0000","0.00","83.90","2514.82","2023-10-23 00:00:00","2024-09-08 00:00:00"
"154","17","61","CTB002","36.00","","99.00","44.40","9.00","143.86","9.00","143.86","0.00","0.00","0.0000","0.00","83.90","1886.12","2023-10-23 00:00:00","2024-02-25 00:00:00"
"155","17","60","CH0159","50.00","","299.00","120.68","9.00","543.06","9.00","543.06","0.00","0.00","0.0000","0.00","253.39","7120.17","2023-10-23 00:00:00","2025-08-31 00:00:00"
"156","17","9","MUF012","36.00","","199.00","81.81","9.00","265.06","9.00","265.06","0.00","0.00","0.0000","0.00","168.64","3475.28","2023-09-04 00:00:00","2025-03-04 00:00:00"
"157","17","7","CF012","36.00","","199.00","81.81","9.00","265.06","9.00","265.06","0.00","0.00","0.0000","0.00","168.64","3475.28","2023-08-24 00:00:00","2025-03-27 00:00:00"
"158","18","62","WU005","54.00","","225.00","101.70","9.00","494.26","9.00","494.26","0.00","0.00","0.0000","0.00","190.68","6480.32","2023-11-01 00:00:00","2024-11-24 00:00:00"
"159","18","63","PM020","60.00","","750.00","380.95","2.50","571.43","2.50","571.43","0.00","0.00","0.0000","0.00","714.29","24000.04","2023-11-01 00:00:00","2025-01-01 00:00:00"
"160","19","2","NSCK061023","15.00","","2200.00","1008.57","9.00","1361.57","9.00","1361.57","0.00","0.00","0.0000","0.00","1864.41","17851.69","2023-10-01 00:00:00","2025-10-01 00:00:00"
"161","19","3","NSCP071023","15.00","","2000.00","916.88","9.00","1237.79","9.00","1237.79","0.00","0.00","0.0000","0.00","1694.92","16228.78","2023-10-01 00:00:00","2025-10-01 00:00:00"
"170","20","64","SOAP40","120.00","","80.00","33.90","9.00","366.12","9.00","366.12","0.00","0.00","0.0000","0.00","67.80","4800.24","2023-11-03 00:00:00","2026-06-30 00:00:00"
"171","20","32","2","60.00","","160.00","67.79","9.00","366.07","9.00","366.07","0.00","0.00","0.0000","0.00","135.59","4799.54","2023-10-07 00:00:00","2025-05-31 00:00:00"
"172","20","54","230672","24.00","","850.00","360.16","9.00","777.95","9.00","777.95","0.00","0.00","0.0000","0.00","720.34","10199.74","2023-10-21 00:00:00","2026-04-30 00:00:00"
"173","20","26","19062023","8.00","","880.00","391.53","9.00","281.90","9.00","281.90","0.00","0.00","0.0000","0.00","745.76","3696.04","2023-10-02 00:00:00","2024-10-31 00:00:00"
"174","20","27","01082023P","8.00","","2450.00","1090.04","9.00","784.83","9.00","784.83","0.00","0.00","0.0000","0.00","2076.27","10289.98","2023-10-02 00:00:00","2024-12-31 00:00:00"
"175","20","29","1082023","16.00","","800.00","355.93","9.00","512.54","9.00","512.54","0.00","0.00","0.0000","0.00","677.97","6719.96","2023-10-02 00:00:00","2024-11-30 00:00:00"
"176","20","30","01082023P","8.00","","2200.00","978.81","9.00","704.74","9.00","704.74","0.00","0.00","0.0000","0.00","1864.41","9239.96","2023-10-02 00:00:00","2024-12-31 00:00:00"
"177","20","65","15072023","16.00","","775.00","344.81","9.00","496.53","9.00","496.53","0.00","0.00","0.0000","0.00","656.78","6510.02","2023-11-03 00:00:00","2024-11-30 00:00:00"
"178","20","42","01082023P","8.00","","2225.00","989.94","9.00","712.76","9.00","712.76","0.00","0.00","0.0000","0.00","1885.59","9345.04","2023-10-03 00:00:00","2024-12-31 00:00:00"
"179","21","49","TSNS030923","12.00","","750.00","343.83","9.00","371.34","9.00","371.34","0.00","0.00","0.0000","0.00","635.59","4868.64","2023-10-21 00:00:00","2025-10-01 00:00:00"
"180","21","66","CSNS200723","8.00","","1850.00","848.11","9.00","610.64","9.00","610.64","0.00","0.00","0.0000","0.00","1567.80","8006.19","2023-10-01 00:00:00","2025-10-15 00:00:00"
"181","21","51","CSNP010523","8.00","","1750.00","802.27","9.00","577.63","9.00","577.63","0.00","0.00","0.0000","0.00","1483.05","7573.42","2023-10-21 00:00:00","2025-10-01 00:00:00"
"182","21","16","TSCK061023","90.00","","450.00","206.30","9.00","1671.03","9.00","1671.03","0.00","0.00","0.0000","0.00","381.36","21909.06","2023-10-01 00:00:00","2025-10-08 00:00:00"
