"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"2620","2024-07-06 00:00:00","BLUE'S PET CLINIC                                                                                                                                                                                       ","INV-2024-10163                                    ","Sales                                                                                                                                                                                                   ","12594.00","0.00","C-0004              "
"2621","2024-07-06 00:00:00","JJJ Birds                                                                                                                                                                                               ","INV-2024-10164                                    ","Sales                                                                                                                                                                                                   ","28602.39","0.00","C-0009              "
"2622","2024-07-06 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10164                                    ","Payment                                                                                                                                                                                                 ","0.00","28602.39","C-0009              "
"2623","2024-07-05 00:00:00","The Nest                                                                                                                                                                                                ","INV-2024-10158                                    ","Sales                                                                                                                                                                                                   ","3071.00","0.00","C-0006              "
"2624","2024-07-04 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10158                                    ","Payment                                                                                                                                                                                                 ","0.00","3071.00","C-0006              "
"2625","2024-07-09 00:00:00","VM classic                                                                                                                                                                                              ","ST-0070                                           ","Purchase                                                                                                                                                                                                ","0.00","191799.00","S-0008              "
"2626","2024-07-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0070                                           ","Payment                                                                                                                                                                                                 ","191799.00","0.00","S-0008              "
"2627","2024-07-11 00:00:00","HEADS & TAILS                                                                                                                                                                                           ","INV-2024-10168                                    ","Sales                                                                                                                                                                                                   ","30248.00","0.00","C-0034              "
"2628","2024-07-11 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10168                                    ","Payment                                                                                                                                                                                                 ","0.00","30248.00","C-0034              "
"2629","2024-07-11 00:00:00","LORDS PET WORLD                                                                                                                                                                                         ","INV-2024-10169                                    ","Sales                                                                                                                                                                                                   ","20318.00","0.00","C-0032              "
"2630","2024-07-11 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10169                                    ","Payment                                                                                                                                                                                                 ","0.00","20318.00","C-0032              "
"2631","2024-07-08 00:00:00","WOW PUPS                                                                                                                                                                                                ","INV-2024-10165                                    ","Sales                                                                                                                                                                                                   ","6957.00","0.00","C-0023              "
"2632","2024-07-11 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10165                                    ","Payment                                                                                                                                                                                                 ","0.00","6957.00","C-0023              "
"2633","2024-07-11 00:00:00","DHINESH                                                                                                                                                                                                 ","INV-2024-10170                                    ","Sales                                                                                                                                                                                                   ","3225.00","0.00","C-0028              "
"2634","2024-07-11 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10170                                    ","Payment                                                                                                                                                                                                 ","0.00","3225.00","C-0028              "
"2635","2024-07-10 00:00:00","JJJ Birds                                                                                                                                                                                               ","INV-2024-10166                                    ","Sales                                                                                                                                                                                                   ","98597.59","0.00","C-0009              "
"2636","2024-07-12 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10166                                    ","Payment                                                                                                                                                                                                 ","0.00","98597.59","C-0009              "
"2637","2024-07-11 00:00:00","JJJ Birds                                                                                                                                                                                               ","INV-2024-10167                                    ","Sales                                                                                                                                                                                                   ","32721.98","0.00","C-0009              "
"2638","2024-07-12 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10167                                    ","Payment                                                                                                                                                                                                 ","0.00","32721.98","C-0009              "
"2639","2024-07-12 00:00:00","JJJ Birds                                                                                                                                                                                               ","INV-2024-10171                                    ","Sales                                                                                                                                                                                                   ","52704.00","0.00","C-0009              "
"2640","2024-07-12 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0071                                           ","Purchase                                                                                                                                                                                                ","0.00","35460.00","S-0001              "
"2641","2024-07-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0071                                           ","Payment                                                                                                                                                                                                 ","35460.00","0.00","S-0001              "
"2642","2024-06-28 00:00:00","MS ENTERPRISES                                                                                                                                                                                          ","INV-2024-10145                                    ","Sales                                                                                                                                                                                                   ","48316.00","0.00","C-0010              "
