"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"45","2023-10-12 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0013                                           ","Purchase                                                                                                                                                                                                ","0.00","102026.00","S-0001              "
"46","2023-10-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0013                                           ","Payment                                                                                                                                                                                                 ","102026.00","0.00","S-0001              "
"47","2023-10-06 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0014                                           ","Purchase                                                                                                                                                                                                ","0.00","108240.00","S-0004              "
"48","2023-10-19 00:00:00","Bank Account                                                                                                                                                                                            ","T-2                                               ","Payment                                                                                                                                                                                                 ","50000.00","0.00","S-0003              "
"49","2023-10-05 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0015                                           ","Purchase                                                                                                                                                                                                ","0.00","37140.00","S-0003              "
"50","2023-10-13 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0016                                           ","Purchase                                                                                                                                                                                                ","0.00","34680.00","S-0003              "
"51","2023-10-17 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0017                                           ","Purchase                                                                                                                                                                                                ","0.00","40978.00","S-0002              "
"52","2023-10-17 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0017                                           ","Payment                                                                                                                                                                                                 ","40978.00","0.00","S-0002              "
"53","2023-10-24 00:00:00","Bank Account                                                                                                                                                                                            ","T-3                                               ","Payment                                                                                                                                                                                                 ","30000.00","0.00","S-0003              "
"54","2023-11-01 00:00:00","TRIDENT ENTERPRISES                                                                                                                                                                                     ","ST-0018                                           ","Purchase                                                                                                                                                                                                ","0.00","30480.00","S-0005              "
"55","2023-11-01 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0018                                           ","Payment                                                                                                                                                                                                 ","30480.00","0.00","S-0005              "
"56","2023-10-15 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0019                                           ","Purchase                                                                                                                                                                                                ","0.00","34080.00","S-0001              "
"57","2023-10-15 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0019                                           ","Payment                                                                                                                                                                                                 ","34080.00","0.00","S-0001              "
"59","2023-09-22 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0020                                           ","Purchase                                                                                                                                                                                                ","0.00","65601.00","S-0003              "
"60","2023-11-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0021                                           ","Purchase                                                                                                                                                                                                ","0.00","77249.00","S-0001              "
"61","2023-11-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0021                                           ","Payment                                                                                                                                                                                                 ","77249.00","0.00","S-0001              "
"62","2023-11-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0022                                           ","Purchase                                                                                                                                                                                                ","0.00","4706.00","S-0001              "
"63","2023-11-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0022                                           ","Payment                                                                                                                                                                                                 ","4706.00","0.00","S-0001              "
"64","2023-11-11 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0023                                           ","Purchase                                                                                                                                                                                                ","0.00","11157.00","S-0001              "
"65","2023-11-11 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0023                                           ","Payment                                                                                                                                                                                                 ","11157.00","0.00","S-0001              "
"66","2023-11-28 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0024                                           ","Purchase                                                                                                                                                                                                ","0.00","25156.00","S-0002              "
"67","2023-11-28 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0024                                           ","Payment                                                                                                                                                                                                 ","25156.00","0.00","S-0002              "
"68","2023-12-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0025                                           ","Purchase                                                                                                                                                                                                ","0.00","61778.00","S-0001              "
"69","2023-12-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0025                                           ","Payment                                                                                                                                                                                                 ","61778.00","0.00","S-0001              "
"70","2023-12-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0026                                           ","Purchase                                                                                                                                                                                                ","0.00","1082.00","S-0001              "
"71","2023-12-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0026                                           ","Payment                                                                                                                                                                                                 ","1082.00","0.00","S-0001              "
"72","2023-12-07 00:00:00","LOYAL AGENCIES                                                                                                                                                                                          ","ST-0027                                           ","Purchase                                                                                                                                                                                                ","0.00","19442.00","S-0006              "
"73","2023-12-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0027                                           ","Payment                                                                                                                                                                                                 ","19442.00","0.00","S-0006              "
"74","2023-12-06 00:00:00","FIDUSPETLIFE                                                                                                                                                                                            ","ST-0028                                           ","Purchase                                                                                                                                                                                                ","0.00","5713.00","S-0007              "
"75","2023-12-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0029                                           ","Purchase                                                                                                                                                                                                ","0.00","39843.00","S-0001              "
"76","2023-12-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0029                                           ","Payment                                                                                                                                                                                                 ","39843.00","0.00","S-0001              "
"77","2023-12-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0030                                           ","Purchase                                                                                                                                                                                                ","0.00","24693.00","S-0001              "
"78","2023-12-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0030                                           ","Payment                                                                                                                                                                                                 ","24693.00","0.00","S-0001              "
