"ST_ID","InvoiceNo","PurchaseType","ReferenceNo1","ReferenceNo2","Date","SupplierID","SupplierInvoiceNo","SupplierInvoiceDate","TaxType","SGST","CGST","IGST","SubTotal","PreviousDue","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPayment","PaymentDue","Remarks"
"11","ST-0011                       ","Cash                ","                              ","                              ","2023-10-12 00:00:00","1","TN2308111146                  ","2023-09-12 00:00:00","Exclusive           ","103.68","103.68","0.00","1152.00","0.00","0.00","0.00","1359.36","-0.36","1359.00","1359.00","0.00",""
"13","ST-0013                       ","Cash                ","                              ","                              ","2023-10-12 00:00:00","1","TN2308111170                  ","2023-10-12 00:00:00","Exclusive           ","7781.62","7781.62","0.00","86462.47","0.00","0.00","0.00","102025.71","0.29","102026.00","102026.00","0.00",""
"14","ST-0014                       ","Credit              ","                              ","                              ","2023-10-06 00:00:00","4","36062                         ","2023-10-06 00:00:00","Exclusive           ","8255.59","8255.59","0.00","91728.84","62950.00","0.00","0.00","171190.02","-0.02","171190.00","0.00","171190.00",""
"15","ST-0015                       ","Credit              ","                              ","                              ","2023-10-05 00:00:00","3","153764                        ","2023-10-05 00:00:00","Exclusive           ","2832.71","2832.71","0.00","31474.57","154293.00","0.00","0.00","191432.99","0.01","191433.00","0.00","191433.00",""
"16","ST-0016                       ","Credit              ","                              ","                              ","2023-10-13 00:00:00","3","153805                        ","2023-10-13 00:00:00","Exclusive           ","2645.06","2645.06","0.00","29389.56","191433.00","0.00","0.00","226112.68","0.32","226113.00","0.00","226113.00",""
"17","ST-0017                       ","Cash                ","                              ","                              ","2023-10-17 00:00:00","2","1603                          ","2023-10-17 00:00:00","Exclusive           ","2959.14","2959.14","0.00","35059.77","0.00","0.00","0.00","40978.05","-0.05","40978.00","40978.00","0.00",""
"18","ST-0018                       ","Cash                ","                              ","                              ","2023-11-01 00:00:00","5","979                           ","2023-10-27 00:00:00","Exclusive           ","1065.69","1065.69","0.00","28348.98","0.00","0.00","0.00","30480.36","-0.36","30480.00","30480.00","0.00",""
"19","ST-0019                       ","Cash                ","                              ","                              ","2023-10-15 00:00:00","1","TN2308111391                  ","2023-10-15 00:00:00","Exclusive           ","2599.36","2599.36","0.00","28881.75","0.00","0.00","0.00","34080.47","-0.47","34080.00","34080.00","0.00",""
"20","ST-0020                       ","Credit              ","                              ","                              ","2023-09-22 00:00:00","3","153689                        ","2023-09-22 00:00:00","Exclusive           ","5003.44","5003.44","0.00","55593.64","196113.00","0.00","0.00","261713.52","0.48","261714.00","0.00","261714.00",""
"21","ST-0021                       ","Cash                ","                              ","                              ","2023-11-07 00:00:00","1","TN2308112648                  ","2023-11-07 00:00:00","Exclusive           ","5891.90","5891.90","0.00","65465.53","0.00","0.00","0.00","77249.33","-0.33","77249.00","77249.00","0.00",""
"22","ST-0022                       ","Cash                ","                              ","                              ","2023-11-07 00:00:00","1","TN2308112649                  ","2023-11-07 00:00:00","Exclusive           ","358.96","358.96","0.00","3988.44","0.00","0.00","0.00","4706.36","-0.36","4706.00","4706.00","0.00",""
"23","ST-0023                       ","Cash                ","                              ","                              ","2023-11-11 00:00:00","1","TN2308112981                  ","2023-11-11 00:00:00","Exclusive           ","850.93","850.93","0.00","9454.73","0.00","0.00","0.00","11156.59","0.41","11157.00","11157.00","0.00",""
"24","ST-0024                       ","Cash                ","                              ","                              ","2023-11-28 00:00:00","2","1922                          ","2023-11-28 00:00:00","Exclusive           ","1752.38","1752.38","0.00","21651.36","0.00","0.00","0.00","25156.12","-0.12","25156.00","25156.00","0.00",""
"25","ST-0025                       ","Cash                ","                              ","                              ","2023-12-07 00:00:00","1","TN2308114157                  ","2023-12-07 00:00:00","Exclusive           ","4711.85","4711.85","0.00","52353.92","0.00","0.00","0.00","61777.62","0.38","61778.00","61778.00","0.00",""
"26","ST-0026                       ","Cash                ","                              ","                              ","2023-12-07 00:00:00","1","TN2308114158                  ","2023-12-07 00:00:00","Exclusive           ","82.52","82.52","0.00","916.88","0.00","0.00","0.00","1081.92","0.08","1082.00","1082.00","0.00",""
"27","ST-0027                       ","Cash                ","                              ","                              ","2023-12-07 00:00:00","6","1134                          ","2023-12-07 00:00:00","Exclusive           ","1482.84","1482.84","0.00","16476.00","0.00","0.00","0.00","19441.68","0.32","19442.00","19442.00","0.00",""
"28","ST-0028                       ","Credit              ","                              ","                              ","2023-12-06 00:00:00","7","2324                          ","2023-12-06 00:00:00","Exclusive           ","435.70","435.70","0.00","4841.16","0.00","0.00","0.00","5712.56","0.44","5713.00","0.00","5713.00",""
"29","ST-0029                       ","Cash                ","                              ","                              ","2023-12-09 00:00:00","1","TN2308114268                  ","2023-12-09 00:00:00","Exclusive           ","3038.85","3038.85","0.00","33765.00","0.00","0.00","0.00","39842.70","0.30","39843.00","39843.00","0.00",""
"30","ST-0030                       ","Cash                ","                              ","                              ","2023-12-09 00:00:00","1","TN2308114267                  ","2023-12-09 00:00:00","Exclusive           ","1883.36","1883.36","0.00","20926.26","0.00","0.00","0.00","24692.98","0.02","24693.00","24693.00","0.00",""
"31","ST-0031                       ","Cash                ","                              ","                              ","2024-01-26 00:00:00","1","TN2308115025                  ","2023-12-26 00:00:00","Exclusive           ","5236.07","5236.07","0.00","58178.55","0.00","0.00","0.00","68650.69","0.31","68651.00","68651.00","0.00",""
"32","ST-0032                       ","Cash                ","                              ","                              ","2023-12-25 00:00:00","2","2132                          ","2023-12-25 00:00:00","Exclusive           ","2985.03","2985.03","0.00","33166.80","0.00","0.00","0.00","39136.86","0.14","39137.00","39137.00","0.00",""
"33","ST-0033                       ","Credit              ","                              ","                              ","2024-01-05 00:00:00","1","TN2308115551                  ","2024-01-05 00:00:00","Exclusive           ","12025.13","12025.13","0.00","133612.56","0.00","0.00","0.00","157662.82","0.18","157663.00","0.00","157663.00",""
