"Inv_ID","InvoiceNo","InvoiceDate","TaxType","Customer_ID","SalesmanID","SubTotal","CGST","SGST","IGST","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPaid","Balance","Remarks","Time","RewardsClaimed"
"179","INV-2024-179                  ","2024-02-21 00:00:00","Exclusive           ","6","0","2621.04","235.89","235.89","0.00","0.00","0.00","3092.82","0.18","3093.00","0.00","3093.00","","Wednesday, 21 February 2024 11:59:10 AM","0.00"
"182","INV-2024-182                  ","2024-02-21 00:00:00","Exclusive           ","18","0","7150.42","643.54","643.54","0.00","0.00","0.00","8437.50","0.50","8438.00","0.00","8438.00","","Thursday, 22 February 2024 10:26:42 AM","0.00"
"183","INV-2024-183                  ","2024-02-22 00:00:00","Exclusive           ","18","0","7150.42","643.54","643.54","0.00","0.00","0.00","8437.50","0.50","8438.00","0.00","8438.00","","Thursday, 22 February 2024 10:27:49 AM","0.00"
"184","INV-2024-184                  ","2024-02-27 00:00:00","Exclusive           ","17","0","5285.70","475.71","475.71","0.00","0.00","0.00","6237.12","-0.12","6237.00","0.00","6237.00","","Tuesday, 27 February 2024 02:27:15 PM","0.00"
"185","INV-2024-185                  ","2024-03-02 00:00:00","Exclusive           ","2","0","6069.13","546.25","546.25","0.00","0.00","0.00","7161.63","0.37","7162.00","0.00","7162.00","","Saturday, 02 March 2024 10:17:20 AM","0.00"
"187","INV-2024-187                  ","2024-03-08 00:00:00","Exclusive           ","11","0","2428.41","218.56","218.56","0.00","0.00","0.00","2865.53","0.47","2866.00","0.00","2866.00","","Friday, 08 March 2024 04:21:44 PM","0.00"
"188","INV-2024-188                  ","2024-03-08 00:00:00","Exclusive           ","15","0","6678.15","0.00","0.00","1202.07","0.00","394.00","7880.22","-0.22","7486.00","0.00","7486.00","","Friday, 08 March 2024 04:28:08 PM","0.00"
"189","INV-2024-189                  ","2024-03-08 00:00:00","Exclusive           ","19","0","6094.90","548.54","548.54","0.00","0.00","0.00","7191.98","0.02","7192.00","0.00","7192.00","","Friday, 08 March 2024 04:35:05 PM","0.00"
"190","INV-2024-190                  ","2024-03-11 00:00:00","Exclusive           ","11","0","21737.57","1956.37","1956.37","0.00","0.00","0.00","25650.31","-0.31","25650.00","25650.00","0.00","","Monday, 11 March 2024 02:01:19 PM","0.00"
"191","INV-2024-191                  ","2024-03-11 00:00:00","Exclusive           ","21","0","15121.69","1360.93","1360.93","0.00","0.00","0.00","17843.55","0.45","17844.00","17844.00","0.00","","Monday, 11 March 2024 02:14:12 PM","0.00"
"192","INV-2024-192                  ","2024-03-11 00:00:00","Exclusive           ","2","0","858.06","77.23","77.23","0.00","0.00","0.00","1012.52","0.48","1013.00","1013.00","0.00","","Monday, 11 March 2024 02:17:15 PM","0.00"
"193","INV-2024-193                  ","2024-03-12 00:00:00","Exclusive           ","5","0","7948.18","715.34","715.34","0.00","0.00","0.00","9378.86","0.14","9379.00","0.00","9379.00","","Tuesday, 12 March 2024 11:22:25 AM","0.00"
"194","INV-2024-194                  ","2024-03-13 00:00:00","Exclusive           ","18","0","7150.42","643.54","643.54","0.00","0.00","0.00","8437.50","0.50","8438.00","0.00","8438.00","","Wednesday, 13 March 2024 05:07:56 PM","0.00"
"195","INV-2024-195                  ","2024-03-18 00:00:00","Exclusive           ","6","0","3839.84","345.59","345.59","0.00","0.00","0.00","4531.02","-0.02","4531.00","4531.00","0.00","","Monday, 18 March 2024 05:51:36 PM","0.00"
"197","INV-2024-197                  ","2024-03-22 00:00:00","Exclusive           ","22","0","36683.83","0.00","0.00","6603.09","0.00","0.00","43286.92","0.08","43287.00","0.00","43287.00","","Friday, 22 March 2024 03:30:00 PM","0.00"
"199","INV-2024-199                  ","2024-03-23 00:00:00","Exclusive           ","6","0","8568.65","771.19","771.19","0.00","0.00","0.00","10111.03","-0.03","10111.00","10111.00","0.00","","Saturday, 23 March 2024 12:51:05 PM","0.00"
"200","INV-2024-200                  ","2024-03-23 00:00:00","Exclusive           ","23","0","4176.22","375.86","375.86","0.00","0.00","0.00","4927.94","0.06","4928.00","4928.00","0.00","","Saturday, 23 March 2024 02:18:20 PM","0.00"
"201","INV-2024-201                  ","2024-03-23 00:00:00","Exclusive           ","6","0","686.52","61.78","61.78","0.00","0.00","0.00","810.08","-0.08","810.00","810.00","0.00","","Saturday, 23 March 2024 02:20:39 PM","0.00"
"202","INV-2024-202                  ","2024-03-25 00:00:00","Exclusive           ","2","0","3489.70","314.08","314.08","0.00","0.00","0.00","4117.86","0.14","4118.00","4118.00","0.00","","Monday, 25 March 2024 06:28:37 PM","0.00"
"203","INV-2024-203                  ","2024-03-27 00:00:00","Exclusive           ","1","0","1420.19","127.82","127.82","0.00","0.00","0.00","1675.83","0.17","1676.00","1676.00","0.00","","Wednesday, 27 March 2024 12:31:23 PM","0.00"
"204","INV-2024-204                  ","2024-03-28 00:00:00","Exclusive           ","6","0","2262.71","203.65","203.65","0.00","0.00","0.00","2670.01","-0.01","2670.00","2670.00","0.00","","Thursday, 28 March 2024 12:53:37 PM","0.00"
"205","INV-2024-205                  ","2024-03-28 00:00:00","Exclusive           ","25","0","13684.43","1231.60","1231.60","0.00","0.00","0.00","16147.63","0.37","16148.00","16148.00","0.00","","Thursday, 28 March 2024 01:13:07 PM","0.00"
"206","INV-2024-206                  ","2024-03-30 00:00:00","Exclusive           ","4","0","5091.44","458.22","458.22","0.00","0.00","0.00","6007.88","0.12","6008.00","0.00","6008.00","","Thursday, 04 April 2024 12:13:28 PM","0.00"
"207","INV-2024-207                  ","2024-04-05 00:00:00","Exclusive           ","17","0","9496.18","854.67","854.67","0.00","0.00","0.00","11205.52","0.48","11206.00","11206.00","0.00","","Friday, 05 April 2024 08:55:15 PM","0.00"
"208","INV-2024-208                  ","2024-04-06 00:00:00","Exclusive           ","19","0","12084.72","1087.62","1087.62","0.00","0.00","0.00","14259.96","0.04","14260.00","0.00","14260.00","","Friday, 05 April 2024 09:39:02 PM","0.00"
"246","INV-2024-246                  ","2024-08-30 00:00:00","Exclusive           ","28","0","270.13","24.31","24.31","0.00","0.00","0.00","318.75","0.25","319.00","319.00","0.00","","Friday, 30 August 2024 12:42:34 PM","0.00"
"1004","INV-2024-1004                 ","2024-04-06 00:00:00","Exclusive           ","4","0","4671.62","420.43","420.43","0.00","0.00","0.00","5512.48","-0.48","5512.00","5512.00","0.00","","Saturday, 06 April 2024 03:21:06 PM","0.00"
